Vendor Name,Email,City,State,Category,Sector
EtherWing Aerospace Pvt Ltd,ceo@etherwing.in,Bangalore,Karnataka,Aerospace,Manufacturing
EXTRIVE INNOVATIONS,ronakoinam8@gmail.com,Salem,Tamilnadu,Wearables,Manufacturing
Fabheads,dhineshrk@fabheads.in,Hubli,Karnataka,Manufacturing,Manufacturing
Fabiosys Innovations Private Limited,yateemth@gmail.com,Delhi,Delhi,Medtech,Healthcare
Forbidden Foods Private Limited,abhishek@forbiddenfoods.in,Noida,UttarPradesh,Snacks,Technology
GAP Solar Private Limited,grushaverma1998@gmail.com,Noida,Delhi,Renewables,Technology
Gene to Protein Pvt Ltd,info@genetoprotein.com,Gurgaon,Haryana,Biotech,Technology
ENERGIE CLOTHING,amwz1492275@gmail.com,Noida,UttarPradesh,Fashion,Fashion
Entrepreneurship Development Center,pranoti.kulkarni@venturecenter.co.in,New Delhi,Delhi,Incubator,Technology
EREPNICS PRIVATE LIMITED,erepnics@gmail.com,Gurgaon,Haryana,Assistive,Technology
DRIBLET PRIVATE LIMITED,connect@arcrobotics.in,Noida,UttarPradesh,Robotics,Technology
Cannabie Lifestyles,akshat@cannabie.in,New Delhi,Delhi,Fashion,Fashion
Cannarma Private Limited,cannarmaindia@gmail.com,Gurgaon,Haryana,Cannabis,Healthcare
Captain Fresh,joe.f@captainfresh.in,Noida,UttarPradesh,Seafood,Manufacturing
CarbonMatrix Composites Pvt. Ltd.,sagarsoni@carbonmatrix.in,New Delhi,Delhi,Composites,Manufacturing
care4parents.in,shuchita@pinkshastra.com,Gurgaon,Haryana,Healthtech,Healthcare
CASAJOYA PVT LTD,khsh.aggarwal@gmail.com,Noida,UttarPradesh,Fashion,Fashion
"AIC STPI NEXT INITIATIVES - ELECTROPRENEUR PARK, BHUBANESWAR",lopa.mishra@stpinext.in,New Delhi,Delhi,Electronics,Manufacturing
AIC STPINEXT INITIATIVES,varun.soni@stpinext.in,Gurgaon,Haryana,Startup,Technology
AIC-AMTZ Medivalley,ceo@medivalley-aic.in,Noida,UttarPradesh,Medtech,Healthcare
"Diagopreuti
c Pvt. Ltd",ros007swa@gmail.com,New Delhi,Delhi,Diagnostics,Healthcare
Digital Rural India Mission Pvt Ltd.,info.drims@gmail.com,Gurgaon,Haryana,Innovation,Technology
DPSRU Invoation and Incubation Foundation,operations@nasofilters.com,Noida,UttarPradesh,Nanotech,Manufacturing
DQ Care,krunal.ramteke24@gmail.com,New Delhi,Delhi,DigitalHealth,Healthcare
CHAMAN UDYOG,19.racchitgoel@gmail.com,Gurgaon,Haryana,Manufacturing,Manufacturing
Cleantech Mart by IDEALERS B2B PVT LTD,idealersb2b@gmail.com,Noida,UttarPradesh,Cleantech,Manufacturing
Clear Zone (Jenika Enterprise PVT LTD.),kaushalczpc@gmail.com,New Delhi,Delhi,Hygiene,Manufacturing
Codevidhya India Private Limited,alok.saboo@codevidhya.com,Gurgaon,Haryana,Edtech,Edtech
FIBROHEAL WOUNDCARE PRIVATE LIMITED,vivek.mishra@fibroheal.com,Noida,UttarPradesh,Biotech,Healthcare
Finderr,tambireyvant@gmail.com,Noida,UttarPradesh,Fashion,Fashion
FITT-IIT DELHI,prabalkaur.fitt@gmail.com,New Delhi,Delhi,Research,Technology
Flo Mobility,pratik@flomobility.com,Gurgaon,Haryana,Autonomous,Technology
Flying Electronics,priyanshuhzb@gmail.com,Noida,UttarPradesh,Drones,Manufacturing
BIOMIMICRY TECHNOLOGIES PVT. LTD.,onkar@biomtech.in,New Delhi,Delhi,Environment,Manufacturing
BIRAC BioNEST Bio Valley Incubation Council,mohini.m@biovalley-amtz.in,Gurgaon,Haryana,Healthcare,Healthcare
Blu Ocean Pvt Ltd,director@bluoceanstudios.com,Noida,UttarPradesh,Deeptech,Healthcare
NatureBites Organics Pvt Ltd,contact@naturebites.in,Pune,Maharashtra,Snacks,Food & Beverages
SpiceTrail Exports,sales@spicetrail.in,Kochi,Kerala,Spices,Food & Beverages
FreshCane Juices LLP,info@freshcane.in,Surat,Gujarat,Beverages,Food & Beverages
Tandoor Treats Pvt Ltd,hello@tandoortreats.com,Hyderabad,Telangana,Frozen,Food & Beverages
AquaPure Beverages,support@aquapurewater.in,Delhi,Delhi,Water,Food & Beverages
VoltEdge Semicon Pvt Ltd,hello@voltedge.in,Noida,UttarPradesh,Semiconductors,Electronics
Syntek Instruments,sales@syntek.in,Bengaluru,Karnataka,Instruments,Electronics
BrightPixel Technologies,info@brightpixel.co.in,Mumbai,Maharashtra,Lighting,Electronics
MicroFlux Electronics,contact@microflux.in,Chennai,Tamilnadu,Automation,Electronics
Digiview Displays Pvt Ltd,support@digiview.in,Ahmedabad,Gujarat,Displays,Electronics
MachinoTech Engineers,info@machinotech.co.in,Coimbatore,Tamilnadu,CNC,Machinery
TurboMech Systems,contact@turbomech.in,Pune,Maharashtra,Compressors,Machinery
AgroMach India Pvt Ltd,sales@agromachindia.in,Ludhiana,Punjab,Agriculture,Machinery
SteelCore Hydraulics,support@steelcorehydraulics.com,Rajkot,Gujarat,Hydraulics,Machinery
OmegaPack Systems Pvt Ltd,hello@omegapack.in,Indore,MadhyaPradesh,Packaging,Machinery
KrishiKart Agrotech Pvt Ltd,support@krishikart.in,Indore,MadhyaPradesh,SmartFarming,Agriculture
AgriOne Solutions Pvt Ltd,info@agrione.in,Nagpur,Maharashtra,Sourcing,Agriculture
GreenGro Fertilizers,contact@greengro.in,Jaipur,Rajasthan,Fertilizers,Agriculture
AquaGrow Drip Systems,sales@aquagrowdrip.in,Anand,Gujarat,Irrigation,Agriculture
AgroDrone Labs,hello@agrodronelabs.com,Bengaluru,Karnataka,Drones,Agriculture
Medxil Pharma Labs,admin@medxilpharma.com,Ahmedabad,Gujarat,Generics,Pharmaceuticals
BioNova Remedies Pvt Ltd,contact@bionova.in,Hyderabad,Telangana,Pediatrics,Pharmaceuticals
HealoCare Lifesciences,info@healocare.in,Chandigarh,Chandigarh,ThirdParty,Pharmaceuticals
LifePure Biotech Ltd,support@lifepure.in,Baddi,HimachalPradesh,APIs,Pharmaceuticals
ZenithThera Pharmaceuticals,hello@zeniththera.in,Mumbai,Maharashtra,Cardiology,Pharmaceuticals
